--||--||--||na||Namibia
1361037496||1361037503||1109653200||na||
3262476204||3262476207||1109653200||na||
3262478117||3262478117||1109653200||na||
3262478120||3262478120||1109653200||na||
3262478122||3262478122||1109653200||na||
3262478189||3262478189||1109653200||na||
3262478193||3262478193||1109653200||na||
3288407040||3288408063||1123998113||na||
3289333760||3289653247||1111552135||na||
3291283456||3291287551||1141189060||na||
3302498304||3302506495||1161837851||na||
3493092352||3493092607||1109653200||na||
3503473152||3503473663||1109653200||na||
