--||--||--||02||UnAllocated
1241646592||1241646847||1155526443||02||
2886599936||2886600191||1161837541||02||
2886666240||2886666495||1161837559||02||
2886668032||2886668287||1156644372||02||
2886669312||2886669567||1158892555||02||
2887854336||2887854591||1156561322||02||
2887975680||2887975935||1155957483||02||
2888433664||2888433919||1154923661||02||
3204514560||3204514815||1155958449||02||
3204958208||3204958463||1156302326||02||
3205081600||3205081855||1154923685||02||
3206154752||3206155007||1161837779||02||
3235040512||3235040767||1160453512||02||
